,City,Lat,Lon,Temp_C,Feels_like,Temp_min_C,Temp_max_C,Humidity,Wind_speed_mph,Clouds,Country,Time_zone
143,biak,-0.91,122.88,25.38,28.02,25.38,25.38,83,3.15,98,ID,28800
144,rio grande,-32.03,-52.1,19.44,18.54,19.44,19.44,87,4.81,100,BR,-10800
145,sao filipe,14.9,-24.5,25.79,28.72,25.79,25.79,85,3.36,79,CV,-3600
146,singaparna,-7.35,108.11,22.84,25.68,22.84,22.84,85,1.35,95,ID,25200
147,lebu,-37.62,-73.65,8.61,6.19,8.61,8.61,82,2.06,71,CL,-14400
148,linxia,35.6,103.21,19.64,20.48,19.64,19.64,77,1.37,100,CN,28800
149,sur,22.57,59.53,29.19,29.24,29.19,29.19,70,7.53,55,OM,14400
150,upernavik,72.79,-56.15,7.98,2.48,7.98,7.98,74,5.88,0,GL,-7200
151,luderitz,-26.65,15.16,18,14.28,18,18,36,3.1,0,NA,7200
152,batsfjord,70.63,29.72,13,9.72,13,13,87,5.1,75,NO,7200
153,grand gaube,-20.01,57.66,21,17.92,21,21,60,5.7,75,MU,14400
154,urumqi,43.8,87.6,23,21.8,23,23,53,3,75,CN,28800
155,port hueneme,34.15,-119.2,19.24,17.69,17,22.22,82,5.1,90,US,-25200
156,dingle,11,122.67,29.28,33.85,29.28,29.28,78,2.68,22,PH,28800
157,monywa,22.12,95.13,27,29,27,27,79,4.67,100,MM,23400
158,faya,18.39,42.45,22,19.67,22,22,37,2.22,0,SA,10800
159,barra do garcas,-15.89,-52.26,20.82,19.23,20.82,20.82,38,0.95,0,BR,-14400
160,genhe,50.78,121.52,27.84,27.53,27.84,27.84,45,2.65,100,CN,28800
161,paucartambo,555,555,555,555,555,555,555,555,555,555,555
162,raton,36.9,-104.44,28,21.24,28,28,24,8.2,1,US,-21600
163,lakatoro,-16.1,167.42,26,26.76,26,26,69,4.1,75,VU,39600
164,grand centre,555,555,555,555,555,555,555,555,555,555,555
165,new norfolk,-42.78,147.06,8.73,6.65,7.22,10,77,1.34,100,AU,36000
166,kieta,-6.22,155.63,28.51,32.1,28.51,28.51,72,2.33,100,PG,39600
167,saint-philippe,-21.36,55.77,15.89,13.58,9.44,19.44,59,2.6,90,RE,14400
168,vostok,46.49,135.88,21.52,24.28,21.52,21.52,88,0.96,100,RU,36000
169,tuatapere,-46.13,167.68,3.89,1.16,3.89,3.89,83,1.34,88,NZ,43200
170,maldonado,-34.67,-54.92,15.56,15.5,15,16.11,93,2.1,90,UY,-10800
171,suez,29.97,32.53,22.64,24.02,22.64,22.64,85,3.3,0,EG,7200
172,saskylakh,71.92,114.08,9.23,4.43,9.23,9.23,90,6.08,100,RU,32400
173,ponta do sol,32.67,-17.1,18.53,13.92,17.22,21,68,7.7,20,PT,3600
174,kandrian,-6.22,149.55,28.59,30.51,28.59,28.59,75,5.33,26,PG,36000
175,berlevag,70.86,29.09,10.03,5.95,10.03,10.03,92,5.44,87,NO,7200
176,clyde river,70.47,-68.59,8,6.03,8,8,87,1.5,90,CA,-14400
177,lolua,555,555,555,555,555,555,555,555,555,555,555
178,lawton,34.61,-98.39,33.49,34.25,33,34,49,5.1,40,US,-18000
179,hay river,60.82,-115.8,18,17.81,18,18,88,3.1,75,CA,-21600
180,morada nova,-5.11,-38.37,22.76,24.87,22.76,22.76,82,1.95,0,BR,-10800
181,udarnyy,54.34,42.86,12.71,11.83,12.71,12.71,98,2.32,51,RU,10800
182,shemursha,54.89,47.52,14.72,14.59,14.72,14.72,91,1.64,0,RU,10800
183,kavieng,-2.57,150.8,29.75,31.18,29.75,29.75,71,6.19,33,PG,36000
184,te anau,-45.42,167.72,5.38,1.03,5.38,5.38,67,3.33,37,NZ,43200
185,buckeye,33.37,-112.58,41.18,40.26,40.56,41.67,19,2.6,1,US,-25200
186,fortuna,40.6,-124.16,14.64,12.52,13,16.11,93,4.6,90,US,-25200
187,mackay,-21.15,149.2,17.69,15.98,17.22,18,88,5.1,90,AU,36000
188,bulgan,48.81,103.53,18.81,19.05,18.81,18.81,77,1.81,77,MN,28800
189,imbituba,-28.24,-48.67,20,21.26,20,20,82,1.5,100,BR,-10800
190,santa marinella,42.03,11.85,20.56,20.08,20.56,20.56,63,2.14,0,IT,7200
191,ribeira grande,38.52,-28.7,21.17,22.43,21.17,21.17,71,0.88,16,PT,0
192,pontal do parana,-25.65,-48.51,13.65,11.96,12.78,14.44,87,3.1,100,BR,-10800
193,leh,34.17,77.58,11.67,7.26,11.67,11.67,41,3.24,42,IN,19800
194,mezhdurechenskiy,59.6,65.93,14.35,11.8,14.35,14.35,65,2.93,0,RU,18000
195,la ronge,55.1,-105.28,25,26.31,25,25,61,1.5,75,CA,-21600
196,sterling,39.01,-77.43,22.59,25.8,21.67,23.33,94,1.81,90,US,-14400
197,dahuk,36.87,42.99,26.53,24.19,26.53,26.53,21,1.05,0,IQ,10800
198,fairbanks,64.84,-147.72,17,15.45,16,18,67,2.6,40,US,-28800
199,bonfim,3.08,-59.95,24.93,28.59,24.93,24.93,84,1.51,100,BR,-14400
200,grand river south east,555,555,555,555,555,555,555,555,555,555,555
201,narsaq,60.92,-46.05,18,7.16,18,18,58,15.4,100,GL,-7200
202,gisenyi,-1.7,29.26,16.91,16.57,16.91,16.91,72,1.29,21,RW,7200
203,vardo,70.37,31.11,13,9.72,13,13,87,5.1,75,NO,7200
204,bambous virieux,-20.34,57.76,21,17.92,21,21,60,5.7,75,MU,14400
205,berdavan,41.2,45,22,21.4,22,22,68,3.6,75,AM,14400
206,fjerritslev,57.08,9.27,11.68,8.71,11.11,12.22,85,4.02,0,DK,7200
207,milkovo,54.72,158.62,14.82,14.01,14.82,14.82,64,0.52,88,RU,43200
208,yenagoa,4.92,6.26,23.3,27.04,23.3,23.3,94,1.59,64,NG,3600
209,salalah,17.02,54.09,26,28.83,26,26,94,5.1,90,OM,14400
210,piranshahr,36.7,45.14,18.3,18,18.3,18.3,69,1.54,0,IR,16200
211,shishou,29.72,112.42,28.72,33.57,28.72,28.72,79,1.99,99,CN,28800
212,yermish,54.77,42.27,11.88,10.14,11.88,11.88,94,2.92,0,RU,10800
213,kirakira,-10.45,161.92,26.77,27.89,26.77,26.77,82,6.24,100,SB,39600
214,portland,45.52,-122.68,26.59,25.93,25.56,27.78,42,2.1,20,US,-25200
215,fevralsk,555,555,555,555,555,555,555,555,555,555,555
216,butaritari,3.07,172.79,28.64,29.31,28.64,28.64,75,7.16,85,KI,43200
217,beian,63.66,9.57,10.15,5.47,8.89,11,81,5.7,40,NO,7200
218,cumaribo,555,555,555,555,555,555,555,555,555,555,555
219,valleyview,55.07,-117.29,22.39,22.43,22.39,22.39,61,1.99,14,CA,-21600
220,teguldet,57.31,88.17,9.98,7.88,9.98,9.98,93,2.65,2,RU,25200
221,asfi,32.3,-9.24,21.03,20.22,21.03,21.03,88,5.75,0,MA,3600
222,sorvag,555,555,555,555,555,555,555,555,555,555,555
223,charleston,32.78,-79.93,28.87,31.98,27.78,29.44,79,4.6,1,US,-14400
224,tarquinia,42.25,11.76,20.56,20.38,20.56,20.56,63,1.71,0,IT,7200
225,plettenberg bay,-34.05,23.37,15.02,13.4,15.02,15.02,55,1.02,0,ZA,7200
226,manakara,-22.13,48.02,15.76,15.15,15.76,15.76,80,1.9,35,MG,10800
227,makokou,0.57,12.86,20.13,22.67,20.13,20.13,96,1.3,34,GA,3600
228,mar del plata,-38,-57.56,10.89,5.09,10.56,11.11,100,8.7,90,AR,-10800
229,naze,28.37,129.48,30,35.9,30,30,84,2.6,75,JP,32400
230,omama,36.43,139.28,22.22,24.73,22.22,22.22,88,1.79,100,JP,32400
231,san pedro,14.35,121.02,31.6,34.91,31,32.22,62,3.1,0,PH,28800
232,amderma,555,555,555,555,555,555,555,555,555,555,555
233,barbar,555,555,555,555,555,555,555,555,555,555,555
234,launceston,-41.45,147.17,6.77,4.71,5.56,7.78,70,0.48,92,AU,36000
235,mahebourg,-20.41,57.7,21,17.92,21,21,60,5.7,75,MU,14400
236,luanda,-8.84,13.23,22,24.52,22,22,83,1,75,AO,3600
237,port hawkesbury,45.62,-61.35,16.84,15.93,16.11,17.22,72,2.08,20,CA,-10800
